Species,Genus,Family,Infraorder,Suborder,Order,Diet,Early Age,Late Age,Early Period,Late Period,Max MYA,Min MYA,Lifespan (MYA)
Gastonia lorriemcwhinneyae,Gastonia,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,121.4,100.5,20.900000000000006
Glyptodontopelta mimus,Glyptodontopelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Hoplitosaurus marshi,Hoplitosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous,125.77,121.4,4.36999999999999
Hungarosaurus tormai,Hungarosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,86.3,83.6,2.700000000000003
Hylaeosaurus armatus,Hylaeosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Valanginian,Albian,Lower Cretaceous,Lower Cretaceous,139.8,109.9,29.900000000000006
Invictarx zephyri,Invictarx,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Mymoorapelta maysi,Mymoorapelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,154.8,145.0,9.800000000000011
Niobrarasaurus coleii,Niobrarasaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,89.8,83.6,6.200000000000003
Nodosaurus textilis,Nodosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Panoplosaurus mirus,Panoplosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Panoplosaurus rugosidens,Panoplosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Patagopelta cristata,Patagopelta,,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Pawpawsaurus campbelli,Pawpawsaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,106.2,100.5,5.700000000000003
Peloroplites cedrimontanus,Peloroplites,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,121.4,100.5,20.900000000000006
Polacanthus foxii,Polacanthus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Berriasian,Albian,Lower Cretaceous,Lower Cretaceous,140.6,100.5,40.099999999999994
Polacanthus rudgwickensis,Polacanthus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous,125.77,121.4,4.36999999999999
Propanoplosaurus marylandicus,Propanoplosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,119.5,113.0,6.5
Sauropelta edwardsorum,Sauropelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Aptian,Cenomanian,Lower Cretaceous,Upper Cretaceous,121.4,93.9,27.5
Sauroplites scutiger,Sauroplites,,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Silvisaurus condrayi,Silvisaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,106.2,100.5,5.700000000000003
Stegopelta landerensis,Stegopelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Struthiosaurus austriacus,Struthiosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Struthiosaurus languedocensis,Struthiosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Struthiosaurus transylvanicus,Struthiosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Taohelong jinchengensis,Taohelong,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,113.0,12.769999999999996
Tatankacephalus cooneyorum,Tatankacephalus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,113.0,100.5,12.5
Texasetes pleurohalio,Texasetes,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,106.2,100.5,5.700000000000003
Dracopelta zbyszewskii,Dracopelta,,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Tithonian,Tithonian,Upper Jurassic,Upper Jurassic,146.3,145.0,1.3000000000000114
Kunbarrasaurus ieversi,Kunbarrasaurus,,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,106.2,100.5,5.700000000000003
Sarcolestes leedsi,Sarcolestes,,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Callovian,Callovian,Middle Jurassic,Middle Jurassic,165.3,161.5,3.8000000000000114
Sinankylosaurus zhuchengensis,Sinankylosaurus,,,,,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Spicomellus afer,Spicomellus,,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,168.2,161.5,6.699999999999989
Vectipelta barretti,Vectipelta,,Ankylosauria,Thyreophora,Ornithischia,Herbivore,Berriasian,Berriasian,Lower Cretaceous,Lower Cretaceous,140.6,139.8,0.799999999999983
Dacentrurus armatus,Dacentrurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,154.8,145.0,9.800000000000011
Miragaia longicollum,Miragaia,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,152.2,145.0,7.199999999999989
Miragaia longispinus,Miragaia,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,154.8,145.0,9.800000000000011
Thyreosaurus atlasicus,Thyreosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,168.2,161.5,6.699999999999989
Chungkingosaurus jiangbeiensis,Chungkingosaurus,Huayangosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,168.2,161.5,6.699999999999989
Gigantspinosaurus sichuanensis,Gigantspinosaurus,,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,168.2,161.5,6.699999999999989
Hesperosaurus mjosi,Hesperosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Oxfordian,Tithonian,Upper Jurassic,Upper Jurassic,157.9,145.0,12.900000000000006
Jiangjunosaurus junggarensis,Jiangjunosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic,161.5,154.8,6.699999999999989
Lexovisaurus phillipsi,Lexovisaurus,,Stegosauria,Thyreophora,Ornithischia,Herbivore,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic,161.5,154.8,6.699999999999989
Loricatosaurus priscus,Loricatosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Callovian,Callovian,Middle Jurassic,Middle Jurassic,165.3,161.5,3.8000000000000114
Mongolostegus exspectabilis,Mongolostegus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,121.4,100.5,20.900000000000006
Diracodon laticeps,Stegosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,154.8,145.0,9.800000000000011
Hypsirophus discurus,Stegosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Tithonian,Tithonian,Upper Jurassic,Upper Jurassic,149.2,145.0,4.199999999999989
Stegosaurus duplex,Stegosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,154.8,145.0,9.800000000000011
Stegosaurus stenops,Stegosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,154.8,145.0,9.800000000000011
Stegosaurus sulcatus,Stegosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,154.8,145.0,9.800000000000011
Stegosaurus ungulatus,Stegosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,154.8,145.0,9.800000000000011
Wuerhosaurus homheni,Stegosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Valanginian,Albian,Lower Cretaceous,Lower Cretaceous,139.8,100.5,39.30000000000001
Yingshanosaurus jichuanensis,Yingshanosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,168.2,161.5,6.699999999999989
Adratiklit boulahfa,Adratiklit,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,168.2,161.5,6.699999999999989
Baiyinosaurus baojiensis,Baiyinosaurus,,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bathonian,Bathonian,Middle Jurassic,Middle Jurassic,168.2,165.3,2.8999999999999773
Bashanosaurus primitivus,Bashanosaurus,,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,168.2,161.5,6.699999999999989
Huayangosaurus taibaii,Huayangosaurus,,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bajocian,Oxfordian,Middle Jurassic,Upper Jurassic,170.9,154.8,16.099999999999994
Isaberrysaura mollensis,Isaberrysaura,,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bajocian,Bajocian,Middle Jurassic,Middle Jurassic,170.9,168.6,2.3000000000000114
Kentrosaurus aethiopicus,Kentrosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Oxfordian,Tithonian,Upper Jurassic,Upper Jurassic,161.5,145.0,16.5
Paranthodon africanus,Paranthodon,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Berriasian,Valanginian,Lower Cretaceous,Lower Cretaceous,145.0,132.6,12.400000000000006
Tuojiangosaurus multispinus,Tuojiangosaurus,,Stegosauria,Thyreophora,Ornithischia,Herbivore,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,168.2,161.5,6.699999999999989
Yanbeilong ultimus,Yanbeilong,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,113.0,100.5,12.5
Emausaurus ernsti,Emausaurus,,,Thyreophora,Ornithischia,Herbivore,Toarcian,Toarcian,Lower Jurassic,Lower Jurassic,184.2,174.7,9.5
Jakapil kaniukura,Jakapil,,,Thyreophora,Ornithischia,Herbivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Scelidosaurus harrisonii,Scelidosaurus,,,Thyreophora,Ornithischia,Herbivore,Sinemurian,Sinemurian,Lower Jurassic,Lower Jurassic,199.5,192.9,6.599999999999994
Scutellosaurus lawleri,Scutellosaurus,,,Thyreophora,Ornithischia,Herbivore,Hettangian,Pliensbachian,Lower Jurassic,Lower Jurassic,201.4,184.2,17.200000000000017
Yuxisaurus kopchicki,Yuxisaurus,,,Thyreophora,Ornithischia,Herbivore,Pliensbachian,Pliensbachian,Lower Jurassic,Lower Jurassic,192.9,184.2,8.700000000000017
Agilisaurus louderbacki,Agilisaurus,,,Neornithischia,Ornithischia,Herbivore,Bajocian,Oxfordian,Middle Jurassic,Upper Jurassic,170.9,154.8,16.099999999999994
Eocursor parvus,Eocursor,,,,Ornithischia,Herbivore,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Hexinlusaurus multidens,Hexinlusaurus,,,Neornithischia,Ornithischia,Herbivore,Bajocian,Oxfordian,Middle Jurassic,Upper Jurassic,170.9,154.8,16.099999999999994
Jeholosaurus shangyuanensis,Jeholosaurus,Jeholosauridae,,Neornithischia,Ornithischia,Herbivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Kulindapteryx ukureica,Kulindapteryx,,,Neornithischia,Ornithischia,Herbivore,Bathonian,Tithonian,Middle Jurassic,Upper Jurassic,168.2,145.0,23.19999999999999
Albertadromeus syntarsus,Albertadromeus,Thescelosauridae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Koreanosaurus boseongensis,Koreanosaurus,Thescelosauridae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Orodromeus makelai,Orodromeus,Thescelosauridae,,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Oryctodromeus cubicularis,Oryctodromeus,Thescelosauridae,,,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,106.2,100.5,5.700000000000003
Zephyrosaurus schaffi,Zephyrosaurus,Thescelosauridae,,,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,113.0,100.5,12.5
Fona herzogae,Fona,Thescelosauridae,,,Ornithischia,Herbivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Nevadadromeus schmitti,Nevadadromeus,Thescelosauridae,,,Ornithischia,Herbivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Notohypsilophodon comodorensis,Notohypsilophodon,,Ornithopoda,,Ornithischia,Herbivore,Cenomanian,Turonian,Upper Cretaceous,Upper Cretaceous,100.5,89.8,10.700000000000003
Parksosaurus warreni,Parksosaurus,Thescelosauridae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Haya griva,Haya,Thescelosauridae,,,Ornithischia,Herbivore,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous,86.3,72.1,14.200000000000003
Kulindadromeus zabaikalicus,Kulindadromeus,,,Neornithischia,Ornithischia,Herbivore,Bathonian,Tithonian,Middle Jurassic,Upper Jurassic,168.2,145.0,23.19999999999999
Minimocursor phunoiensis,Minimocursor,,,Neornithischia,Ornithischia,Herbivore,Tithonian,Berriasian,Upper Jurassic,Lower Cretaceous,149.2,139.8,9.399999999999977
Sanxiasaurus modaoxiensis,Sanxiasaurus,,,Neornithischia,Ornithischia,Herbivore,Toarcian,Aalenian,Lower Jurassic,Middle Jurassic,184.2,170.9,13.299999999999983
Yandusaurus hongheensis,Yandusaurus,,,,Ornithischia,Herbivore,Bajocian,Bajocian,Middle Jurassic,Middle Jurassic,170.9,168.2,2.700000000000017
Gongbusaurus shiyii,Gongbusaurus,,,,Ornithischia,Herbivore,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,168.2,161.5,6.699999999999989
Gongbusaurus wucaiwanensis,Gongbusaurus,,,,Ornithischia,Herbivore,Callovian,Oxfordian,Middle Jurassic,Upper Jurassic,165.3,154.8,10.5
Xiaosaurus dashanpensis,Xiaosaurus,,,Neornithischia,Ornithischia,Herbivore,Bajocian,Oxfordian,Middle Jurassic,Upper Jurassic,170.9,154.8,16.099999999999994
Abrictosaurus consors,Abrictosaurus,Heterodontosauridae,,,Ornithischia,Herbivore,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Fruitadens haagarorum,Fruitadens,Heterodontosauridae,,,Ornithischia,Herbivore,Tithonian,Tithonian,Upper Jurassic,Upper Jurassic,149.2,145.0,4.199999999999989
Heterodontosaurus tucki,Heterodontosaurus,Heterodontosauridae,,,Ornithischia,Herbivore,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Lycorhinus angustidens,Lycorhinus,Heterodontosauridae,,,Ornithischia,Herbivore,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Echinodon becklesii,Echinodon,Heterodontosauridae,,,Ornithischia,Herbivore,Berriasian,Berriasian,Lower Cretaceous,Lower Cretaceous,145.0,140.6,4.400000000000006
Manidens condorensis,Manidens,Heterodontosauridae,,,Ornithischia,Herbivore,Toarcian,Toarcian,Lower Jurassic,Lower Jurassic,182.9,174.7,8.200000000000017
Pegomastax africanus,Pegomastax,Heterodontosauridae,,,Ornithischia,Herbivore,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Chilesaurus diegosuarezi,Chilesaurus,,Non-Avian,Theropoda,Saurischia,Herbivore,Tithonian,Tithonian,Upper Jurassic,Upper Jurassic,149.2,145.0,4.199999999999989
Ferganocephale adenticulatum,Ferganocephale,,,,Ornithischia,Herbivore,Callovian,Callovian,Middle Jurassic,Middle Jurassic,165.3,161.5,3.8000000000000114
Krzyzanowskisaurus hunti,Krzyzanowskisaurus,,,,,Herbivore,Carnian,Norian,Upper Triassic,Upper Triassic,237.0,208.5,28.5
Laquintasaura venezuelae,Laquintasaura,,,,Ornithischia,Herbivore,Hettangian,Hettangian,Lower Jurassic,Lower Jurassic,201.4,199.5,1.9000000000000057
Lesothosaurus diagnosticus,Lesothosaurus,,,,Ornithischia,Herbivore,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Pisanosaurus mertii,Pisanosaurus,,,,Ornithischia,Herbivore,Carnian,Carnian,Upper Triassic,Upper Triassic,233.4,227.0,6.400000000000006
Actiosaurus gaudryi,Actiosaurus,,,,,Herbivore,Rhaetian,Rhaetian,Upper Triassic,Upper Triassic,208.5,201.4,7.099999999999994
Gyposaurus sinensis,Gyposaurus,,,Sauropodomorpha,Saurischia,Herbivore,Hettangian,Toarcian,Lower Jurassic,Lower Jurassic,201.4,174.7,26.700000000000017
Gresslyosaurus ingens,Gresslyosaurus,Plateosauridae,,Sauropodomorpha,Saurischia,Herbivore,Norian,Norian,Upper Triassic,Upper Triassic,213.2,208.5,4.699999999999989
Gresslyosaurus plieningeri,Gresslyosaurus,Plateosauridae,,Sauropodomorpha,Saurischia,Herbivore,Norian,Norian,Upper Triassic,Upper Triassic,227.0,208.5,18.5
Yimenosaurus youngi,Yimenosaurus,Plateosauridae,,Sauropodomorpha,Saurischia,Herbivore,Hettangian,Hettangian,Lower Jurassic,Lower Jurassic,201.4,199.5,1.9000000000000057
Bagualosaurus agudoensis,Bagualosaurus,,,Sauropodomorpha,Saurischia,,Carnian,Norian,Upper Triassic,Upper Triassic,237.0,208.5,28.5
Eucnemesaurus entaxonis,Eucnemesaurus,,,Sauropodomorpha,Saurischia,,Norian,Rhaetian,Upper Triassic,Upper Triassic,227.0,201.4,25.599999999999994
Eucnemesaurus fortis,Eucnemesaurus,,,Sauropodomorpha,Saurischia,,Norian,Rhaetian,Upper Triassic,Upper Triassic,227.0,201.4,25.599999999999994
Riojasaurus incertus,Riojasaurus,,,Sauropodomorpha,Saurischia,,Norian,Norian,Upper Triassic,Upper Triassic,227.0,208.5,18.5
Aardonyx celestae,Aardonyx,,,Sauropodomorpha,Saurischia,,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Blikanasaurus cromptoni,Blikanasaurus,Blikanasauridae,Sauropoda,Sauropodomorpha,Saurischia,,Norian,Rhaetian,Upper Triassic,Upper Triassic,227.0,201.4,25.599999999999994
Camelotia borealis,Camelotia,Melanorosauridae,,Sauropodomorpha,Saurischia,,Rhaetian,Rhaetian,Upper Triassic,Upper Triassic,208.5,201.4,7.099999999999994
Gongxianosaurus shibeiensis,Gongxianosaurus,,Sauropoda,Sauropodomorpha,Saurischia,,Toarcian,Toarcian,Lower Jurassic,Lower Jurassic,184.2,174.7,9.5
Irisosaurus yimenensis,Irisosaurus,,,Sauropodomorpha,Saurischia,,Pliensbachian,Pliensbachian,Lower Jurassic,Lower Jurassic,192.9,184.2,8.700000000000017
Jingshanosaurus xinwaensis,Jingshanosaurus,,,Sauropodomorpha,Saurischia,,Hettangian,Hettangian,Lower Jurassic,Lower Jurassic,201.4,199.5,1.9000000000000057
Ledumahadi mafube,Ledumahadi,Lessemsauridae,Sauropoda,Sauropodomorpha,Saurischia,,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Leonerasaurus taquetrensis,Leonerasaurus,,,Sauropodomorpha,Saurischia,,Pliensbachian,Pliensbachian,Lower Jurassic,Lower Jurassic,192.9,184.2,8.700000000000017
Lishulong wangi,Lishulong,,,Sauropodomorpha,Saurischia,,Sinemurian,Toarcian,Lower Jurassic,Lower Jurassic,199.5,174.7,24.80000000000001
Melanorosaurus readi,Melanorosaurus,Melanorosauridae,,Sauropodomorpha,Saurischia,,Norian,Rhaetian,Upper Triassic,Upper Triassic,227.0,201.4,25.599999999999994
Meroktenos thabanensis,Meroktenos,,,Sauropodomorpha,Saurischia,,Norian,Rhaetian,Upper Triassic,Upper Triassic,227.0,201.4,25.599999999999994
Mussaurus patagonicus,Mussaurus,Mussauridae,,Sauropodomorpha,Saurischia,,Sinemurian,Sinemurian,Lower Jurassic,Lower Jurassic,199.5,192.9,6.599999999999994
Schleitheimia schutzi,Schleitheimia,,,Sauropodomorpha,Saurischia,,Norian,Norian,Upper Triassic,Upper Triassic,227.0,208.5,18.5
Sefapanosaurus zastronensis,Sefapanosaurus,,,Sauropodomorpha,Saurischia,,Norian,Hettangian,Upper Triassic,Lower Jurassic,227.0,199.5,27.5
Seitaad ruessi,Seitaad,,,Sauropodomorpha,Saurischia,,Pliensbachian,Toarcian,Lower Jurassic,Lower Jurassic,192.9,174.7,18.200000000000017
Xingxiulong chengi,Xingxiulong,,,Sauropodomorpha,Saurischia,,Hettangian,Hettangian,Lower Jurassic,Lower Jurassic,201.4,199.5,1.9000000000000057
Yizhousaurus sunae,Yizhousaurus,,,Sauropodomorpha,Saurischia,,Sinemurian,Sinemurian,Lower Jurassic,Lower Jurassic,199.5,192.9,6.599999999999994
Yunnanosaurus huangi,Yunnanosaurus,,,Sauropodomorpha,Saurischia,,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Yunnanosaurus robustus,Yunnanosaurus,,,Sauropodomorpha,Saurischia,,Sinemurian,Sinemurian,Lower Jurassic,Lower Jurassic,199.5,192.9,6.599999999999994
Yunnanosaurus youngi,Yunnanosaurus,,,Sauropodomorpha,Saurischia,,Pliensbachian,Pliensbachian,Lower Jurassic,Lower Jurassic,192.9,184.2,8.700000000000017
Adeopapposaurus mognai,Adeopapposaurus,Massospondylidae,,Sauropodomorpha,Saurischia,,Hettangian,Toarcian,Lower Jurassic,Lower Jurassic,201.4,174.7,26.700000000000017
Coloradisaurus brevis,Coloradisaurus,Massospondylidae,,Sauropodomorpha,Saurischia,,Norian,Norian,Upper Triassic,Upper Triassic,227.0,208.5,18.5
Glacialisaurus hammeri,Glacialisaurus,Massospondylidae,,Sauropodomorpha,Saurischia,,Sinemurian,Pliensbachian,Lower Jurassic,Lower Jurassic,199.5,184.2,15.300000000000011
Ignavusaurus rachelis,Ignavusaurus,,,Sauropodomorpha,Saurischia,,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Leyesaurus marayensis,Leyesaurus,Massospondylidae,,Sauropodomorpha,Saurischia,,Hettangian,Toarcian,Lower Jurassic,Lower Jurassic,201.4,174.7,26.700000000000017
Lufengosaurus changduensis,Lufengosaurus,Massospondylidae,,Sauropodomorpha,Saurischia,,Hettangian,Toarcian,Lower Jurassic,Lower Jurassic,201.4,174.7,26.700000000000017
Lufengosaurus huenei,Lufengosaurus,Massospondylidae,,Sauropodomorpha,Saurischia,,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Lufengosaurus magnus,Lufengosaurus,Massospondylidae,,Sauropodomorpha,Saurischia,,Hettangian,Bajocian,Lower Jurassic,Middle Jurassic,201.4,168.2,33.20000000000002
Massospondylus carinatus,Massospondylus,Massospondylidae,,Sauropodomorpha,Saurischia,,Hettangian,Toarcian,Lower Jurassic,Lower Jurassic,201.4,174.7,26.700000000000017
Massospondylus kaalae,Massospondylus,Massospondylidae,,Sauropodomorpha,Saurischia,,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Ngwevu intloko,Ngwevu,Massospondylidae,,Sauropodomorpha,Saurischia,,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Pradhania gracilis,Pradhania,Massospondylidae,,Sauropodomorpha,Saurischia,,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Sarahsaurus aurifontanalis,Sarahsaurus,,,Sauropodomorpha,Saurischia,,Sinemurian,Pliensbachian,Lower Jurassic,Lower Jurassic,199.5,184.2,15.300000000000011
Anchisaurus polyzelus,Anchisaurus,,,Sauropodomorpha,Saurischia,,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,201.4,192.9,8.5
Musankwa sanyatiensis,Musankwa,,,Sauropodomorpha,Saurischia,,Carnian,Norian,Upper Triassic,Upper Triassic,237.0,208.5,28.5
Tuebingosaurus maierfritzorum,Tuebingosaurus,,,Sauropodomorpha,Saurischia,,Norian,Norian,Upper Triassic,Upper Triassic,227.0,208.5,18.5
Jaklapallisaurus asymmetrica,Jaklapallisaurus,,,Sauropodomorpha,Saurischia,,Norian,Rhaetian,Upper Triassic,Upper Triassic,227.0,201.4,25.599999999999994
Macrocollum itaquii,Macrocollum,,,Sauropodomorpha,Saurischia,,Norian,Norian,Upper Triassic,Upper Triassic,227.0,208.5,18.5
Agnosphitys cromhallensis,Agnosphitys,Silesauridae,,,Ornithischia,,Carnian,Carnian,Upper Triassic,Upper Triassic,237.0,227.0,10.0
