Name,Family,Infraorder,Suborder,Order,Taxon Size,Diet,Max MYA,Min MYA,Lifespan (MYA),Early Age,Late Age,Early Period,Late Period,Avialae
Propanoplosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,119.5,113.0,6.5,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,False
Sauropelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,93.9,27.5,Aptian,Cenomanian,Lower Cretaceous,Upper Cretaceous,False
Sauroplites,,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,113.0,8.400000000000006,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,False
Silvisaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,106.2,100.5,5.700000000000003,Albian,Albian,Lower Cretaceous,Lower Cretaceous,False
Stegopelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,100.5,93.9,6.599999999999994,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,False
Struthiosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,3,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Taohelong,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,125.77,113.0,12.769999999999996,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,False
Tatankacephalus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,113.0,100.5,12.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous,False
Texasetes,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,106.2,100.5,5.700000000000003,Albian,Albian,Lower Cretaceous,Lower Cretaceous,False
Dracopelta,,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,146.3,145.0,1.3000000000000114,Tithonian,Tithonian,Upper Jurassic,Upper Jurassic,False
Kunbarrasaurus,,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,106.2,100.5,5.700000000000003,Albian,Albian,Lower Cretaceous,Lower Cretaceous,False
Sarcolestes,,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,165.3,161.5,3.8000000000000114,Callovian,Callovian,Middle Jurassic,Middle Jurassic,False
Sinankylosaurus,,,,,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Spicomellus,,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,168.2,161.5,6.699999999999989,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,False
Vectipelta,,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,140.6,139.8,0.799999999999983,Berriasian,Berriasian,Lower Cretaceous,Lower Cretaceous,False
Dacentrurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,154.8,121.4,33.400000000000006,Kimmeridgian,Barremian,Upper Jurassic,Lower Cretaceous,False
Miragaia,,Stegosauria,Thyreophora,Ornithischia,2,Herbivore,154.8,145.0,9.800000000000011,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,False
Thyreosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,168.2,161.5,6.699999999999989,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,False
Chungkingosaurus,Huayangosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,168.2,161.5,6.699999999999989,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,False
Gigantspinosaurus,,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,168.2,161.5,6.699999999999989,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,False
Changdusaurus,,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,174.7,161.5,13.199999999999989,Aalenian,Callovian,Middle Jurassic,Middle Jurassic,False
Hesperosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,157.9,145.0,12.900000000000006,Oxfordian,Tithonian,Upper Jurassic,Upper Jurassic,False
Jiangjunosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,161.5,154.8,6.699999999999989,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic,False
Lexovisaurus,,Stegosauria,Thyreophora,Ornithischia,0,Herbivore,165.3,154.8,10.5,Callovian,Oxfordian,Middle Jurassic,Upper Jurassic,False
Loricatosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,165.3,161.5,3.8000000000000114,Callovian,Callovian,Middle Jurassic,Middle Jurassic,False
Mongolostegus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,100.5,20.900000000000006,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,False
Stegosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,8,Herbivore,161.5,93.9,67.6,Oxfordian,Cenomanian,Upper Jurassic,Upper Cretaceous,False
Yingshanosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,168.2,161.5,6.699999999999989,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,False
Adratiklit,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,168.2,161.5,6.699999999999989,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,False
Baiyinosaurus,,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,168.2,165.3,2.8999999999999773,Bathonian,Bathonian,Middle Jurassic,Middle Jurassic,False
Bashanosaurus,,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,168.2,161.5,6.699999999999989,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,False
