"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"945766","occ","","","92290","Barbosania gracilirostris","species","186112","Late Aptian","","119.5","113","36271","Chordata","Reptilia","Pterosauria","Ornithocheiridae","Barbosania","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"984388","occ","","","92421","Darwinopterus robustodens","species","202485","Late Bathonian","Early Kimmeridgian","168.2","152.2","37985","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Darwinopterus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"984396","occ","","","52888","Gegepterus changi","species","103982","Late Barremian","Early Aptian","125.77","119.5","24664","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Gegepterus","120.872200","41.601398","CN","Liaoning","Beipiao","based on nearby landmark","4","local area","Sihetun site, Beipiao city"
"984655","occ","","","92421","Jianchangopterus zhaoianus","species","202636","Late Bathonian","Early Kimmeridgian","168.2","152.2","38026","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Jianchangopterus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"984668","occ","","","79521","Gladocephaloideus jingangshanensis","species","202638","Late Barremian","Early Aptian","125.77","119.5","38028","Chordata","Reptilia","Pterosauria","Gallodactylidae","Gladocephaloideus","121.190598","41.473263","CN","Liaoning","","estimated from map","6","outcrop","Jingangshan, Yixian, Jinzhou"
"995306","occ","","","120291","Cuspicephalus scarfi","species","205280","Early Kimmeridgian","","154.8","152.2","38468","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cuspicephalus","-2.131944","50.611668","UK","England","Dorset","stated in text","seconds","small collection","National Grid Reference SY90772 79118"
"1010536","occ","","","53893","Samrukia nessovi","species","214996","Santonian","Early Campanian","86.3","72.1","39508","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Samrukia","64.328972","46.762547","KZ","Qyzylorda","","estimated from map","6","outcrop","an isolated hill 135 km N of Dzhusala (Dzhusaly) railway station in west/cemtral Kasakhstan, east of the Aral Sea"
"1011654","occ","","","91265","Qinglongopterus guoi","species","216790","Late Bathonian","Early Kimmeridgian","168.2","152.2","39769","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Qinglongopterus","119.366699","40.483334","CN","Hebei","Qinglong","based on nearby landmark","6","outcrop","Mutoudeng town, Qinglong county, northern Hebei province"
"1038750","occ","","","127186","Moganopterus zhuiana","species","233485","Late Barremian","Early Aptian","125.77","119.5","41374","Chordata","Reptilia","Pterosauria","Boreopteridae","Moganopterus","119.683296","40.650002","CN","Liaoning","Jianchang","based on nearby landmark","2","small collection","Xiaosanjiazi Village, Lamadong Town, Jianchang County of Liaoning Province"
"1053536","occ","","","28006","Europejara olcadesorum","species","241003","Late Barremian","","125.77","121.4","42229","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Europejara","-1.880849","40.064526","ES","Castilla-La Mancha","Cuenca","estimated from map","6","outcrop","La Cierva township, 20 km E of Cuenca, in the Castellana Branch of the Iberian Range"
"1053537","occ","","","130288","Bellubrunnus rothgaengeri","species","241006","Late Kimmeridgian","","152.2","149.2","42228","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Bellubrunnus","11.901389","49.108055","DE","Eastern Barvaria","Upper Palatinate","estimated from map","seconds","outcrop","The small village of Brunn is situated in Upper Palatinate, Eastern Bavaria, 25 km northwest of the city of Regensburg on the westernmost rim of the Southern Franconian Alb. The Brunn quarry is a small stone pit at the ‘‘Kohlstatt locality’’, between the villages of Brunn and Wischenhofen, which was previously quarried for road building materials... The Brunn quarry is now a protected site reserved for geological research only (Geological map of Bavaria 1:25 000, sheet 6937, Laber and sheet 6837, Kallmünz)."
"1081121","occ","","","135703","Aerotitan sudamericanus","species","249579","Late Campanian","Early Maastrichtian","83.6","66","43415","Chordata","Reptilia","Pterosauria","Azhdarchidae","Aerotitan","-67.333611","-39.472221","AR","Río Negro","","stated in text","seconds","","Cerro de Guerra (3927 80S, 6719 61W), close to the Bajo de Arriagada fossil site (Salgado et al., 2007), around 90 km southeast of General Roca and 80 km northwest of the well-sampled Bajo de Santa Rosa locality, Río Negro Province, Argentina"
"1081655","occ","","","135798","Guidraco venator","species","249681","Aptian","","121.4","113","43449","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Guidraco","119.495834","40.912777","CN","Liaoning","","stated in text","seconds","outcrop","near Liuligou, Sihedang Township, Lingyuan City, western Liaoning Province"
"1081670","occ","","","92421","Jianchangnathus robustus","species","249687","Late Bathonian","Early Kimmeridgian","168.2","152.2","43454","Chordata","Reptilia","Pterosauria","Scaphognathidae","Jianchangnathus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"1091165","occ","","","90458","Parapsicephalus purdoni","species","143941","Early Toarcian","","184.2","182.9","29537","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Parapsicephalus","-0.883333","54.549999","UK","England","Redcar and Cleveland","based on nearby landmark","minutes","outcrop","alum quarries, Lofthus (Lofthouse)"
"1095163","occ","","","138218","Microtuban altivolans","species","254449","Late Cenomanian","","100.5","93.9","44188","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Microtuban","35.746944","34.131943","LB","","","estimated from map","seconds","small collection","Near the town of Hjoûla located 35 km NNE of Beirut and 10 km inland from Jbail, Lebanon\r\n\r\nThe Microtuban altivolans specimen was purchased by the SMNK from a fossil dealer with local contacts and thus the exact provenance of the specimen is uncertain and worthy of discussion. The SMNK was initially told that the pterosaur originated from a quarry at Hâqel, although doubts were raised during discussions with another local dealer. We were later informed that this fossil had probably not been removed from the quarry of Hâqel but was likely from the nearby locality of Hjoûla (Roy Nohra, personal communication). As Hjoûla is only ~4 km south of Hâqel it is conceivable that the fossil dealers and middle men were uncertain as to the specimen’s exact provenance. The sediments of Hâqel, however, contain a moderate amount of bioclasts and are noticeably whiter in colouration than those of Hjoûla, which are more micritic. A comparison of the grey limestone slab with other specimens housed at the SMNK leads us to propose the Early Cenomanian locality of Hjoûla as the true provenance of this specimen. This conclusion could be further confirmed by a thin section or petrographic analysis, but these were beyond the scope of this investigation."
"1095164","occ","","","138219","Aurorazhdarcho primordius","species","254447","Early Tithonian","","149.2","146.3","44189","Chordata","Reptilia","Pterosauria","Protazhdarchidae","Aurorazhdarcho","11.203056","48.993889","DE","Bayern","","estimated from map","seconds","outcrop","The public Blumenberg Quarry, 3 km northwest of Eichstätt (11° 53' 47.50""N, 11° 08' 54.47""E) [but these co-ordinates are not in Germany and must be incorrect]"
"1096535","occ","","","91265","Dendrorhynchoides mutoudengensis","species","255637","Late Bathonian","Early Kimmeridgian","168.2","152.2","44336","Chordata","Reptilia","Pterosauria","Anurognathidae","Dendrorhynchoides","119.366699","40.483334","CN","Hebei","Qinglong","based on nearby landmark","6","outcrop","Mutoudeng town, Qinglong county, northern Hebei province"
"1099008","occ","","","138830","Navajodactylus boerei","species","256478","Late Campanian","","83.6","72.1","44511","Chordata","Reptilia","Pterosauria","Azhdarchidae","Navajodactylus","-107.929214","36.159817","US","New Mexico","San Juan","estimated from map","6","outcrop","Denver's Blowout, SMP Loc. 281, a small expanse of low-lying badlands along Ah-shi-sle-pah Wash, San Juan Basin"
"1100052","occ","39536","","138892","Eurazhdarcho langendorfensis","species","256929","Early Maastrichtian","","72.1","66","44590","Chordata","Reptilia","Pterosauria","Azhdarchidae","Eurazhdarcho","23.572222","45.983334","RO","Alba","","based on nearby landmark","minutes","small collection","""Sebes-Glod (here coded SbG/A-D) is comprised by suite of restricted outcrops that are located from 1.5 to 3 km north of Sebes City...The SbG/B site (from were EME VP 312 was collected) is a small, waterlogged riverbank outcrop, slightly eastward dipping and 6.5 m thick in profile"""
"1112328","occ","","","90306","Vectidraco daisymorrisae","species","263098","Late Barremian","Early Aptian","125.77","119.5","45754","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Vectidraco","-1.361944","50.609444","UK","England","Isle of Wight","based on nearby landmark","seconds","outcrop",""
"1145859","occ","","","94258","Nicorhynchus capito","species","163248","Late Albian","","106.2","100.5","47175","Chordata","Reptilia","Pterosauria","Anhangueridae","Nicorhynchus","0.137500","52.216667","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area",""
"1145890","occ","","","94258","Osteornis diomedeus","species","270566","Late Albian","","106.2","100.5","47175","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Osteornis","0.137500","52.216667","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area",""
"1173136","occ","","","114920","Caupedactylus ybaka","species","278901","Late Aptian","","119.5","113","48270","Chordata","Reptilia","Pterosauria","Tapejaridae","Caupedactylus","-39.000000","-7.000000","BR","Ceará","","estimated from map","degrees","small collection","The holotype of Susisuchus anatoceps lacks provenance information, but was probably collected between the cities of Nova Olinda and Santana do Cariri (Fortier & Schultz 2009). Same for the pterosaur Caupedactylus ybaka (Kellner, 2013)"
"1192902","occ","","","154138","Cycnorhamphus suevicus","species","163712","Late Kimmeridgian","","152.2","149.2","49972","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cycnorhamphus","8.866667","48.116669","DE","Baden-Württemberg","","estimated from map","minutes","outcrop",""
"1192903","occ","","","154138","Ardeadactylus longicollum","species","163714","Late Kimmeridgian","","152.2","149.2","49972","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ardeadactylus","8.866667","48.116669","DE","Baden-Württemberg","","estimated from map","minutes","outcrop",""
"1192904","occ","","","154138","Rhamphorhynchus muensteri","species","95812","Late Kimmeridgian","","152.2","149.2","49972","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","8.866667","48.116669","DE","Baden-Württemberg","","estimated from map","minutes","outcrop",""
"1195716","occ","","","79523","Feilongus youngi","species","119319","Aptian","","121.4","113","50279","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Feilongus","120.175301","41.423901","CN","Liaoning","Chaoyang","based on nearby landmark","4","small collection","Gonggao, Dapingfang, Chaoyang County, western Liaoning (SW of Chaoyang City)"
"1196177","occ","","","154723","Scaphognathus crassirostris","species","95819","Tithonian","","149.2","145","50319","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Scaphognathus","8.836944","50.116390","DE","Bavaria","","","seconds","",""
"1196178","occ","","","92421","Scaphognathus robustus","species","289552","Late Bathonian","Early Kimmeridgian","168.2","152.2","50319","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Scaphognathus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"1200202","occ","","","88070","Nyctosaurus lamegoi","species","162919","Maastrichtian","Late Maastrichtian","72.1","66","31948","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Nyctosaurus","-34.799999","-7.250000","BR","Paraíba","","based on nearby landmark","seconds","outcrop","SPECIFIC LOCATION: Rio Gramame, Fazenda do Congo, 3-4 mi. S of Parahyba, Parahyba do Norte, Brazil. LAT/LONG: estimated based on Rio Gramame, Brazil."
"1203831","occ","","","93870","Kryptodrakon progenitor","species","294077","Oxfordian","","161.5","154.8","50989","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Kryptodrakon","88.919884","45.191288","CN","Xinjiang","","based on nearby landmark","6","small collection","""Wucaiwan locality, eastern Junggar Basin""; coordinates are based upon other Wucaiwan localities in the database"
"1204720","occ","","","156015","Jianchangnathus robustus","species","249687","Oxfordian","","161.5","154.8","51092","Chordata","Reptilia","Pterosauria","Scaphognathidae","Jianchangnathus","119.983330","40.866669","CN","Liaoning","Jianchang","stated in text","minutes","small collection","Near Daxishan Village, Linglongta, Jianchang County, Huludao City, western Liaoning Province"
"1211867","occ","","","92330","Volgadraco bogolubovi","species","140493","Early Campanian","","83.6","72.1","51770","Chordata","Reptilia","Pterosauria","Pteranodontidae","Volgadraco","44.990768","51.238297","RU","Saratov","Lysogorskiy","estimated from map","6","small collection","A gully near the village of Beloe Ozero"
"1221869","occ","","","160057","Caiuajara dobruskii","species","302538","Aptian","Campanian","121.4","72.1","52235","Chordata","Reptilia","Pterosauria","Tapejaridae","Caiuajara","-53.064720","-26.776112","BR","Paraná","","estimated from map","seconds","outcrop","Cemitério dos Pterossauros Quarry, in an outcrop along a rural road about 2 km N of Cruzeiro do Oeste municipality, Paraná State; ""exposed at the overbanks of a secondary road (53° 03′ 53″W, 26° 45′ 34″S) about 2 km north of Cruzeiro do Oeste, Paraná, Brazil"" (Fig. 1, Langer et al., 2019)."
"1225207","occ","","","94253","Lonchodectes machaerorhynchus","species","163229","Late Albian","","106.2","100.5","52459","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Lonchodectes","-0.155000","52.040279","UK","England","Hertfordshire","based on nearby landmark","seconds","local area","multiple collections near Ashwell"
"1225230","occ","","","58103","Hamipterus tianshanensis","species","304280","Early Barremian","Early Aptian","125.77","119.5","52468","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Hamipterus","93.524918","42.818501","CN","Xinjiang","","estimated from map","6","small collection","Hami (Kumul), Xinjiang. In the Turpan-Hami Basin, S of the Tian Shan Mountains"
"1252217","occ","","","165439","Orientognathus chaoyangensis","species","312911","Berriasian","","145","139.8","54088","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Orientognathus","120.097504","41.219166","CN","Liaoning","Chaoyang","stated in text","seconds","small collection","Shengli Town"
"1252451","occ","","","165516","Boreopterus giganticus","species","312947","Late Barremian","Early Aptian","125.77","119.5","54101","Chordata","Reptilia","Pterosauria","Boreopteridae","Boreopterus","120.974899","42.139530","CN","Liaoning","","estimated from map","5","","western Liaoning"
"1264920","occ","","","59357","Rhamphocephalus bucklandi","species","95827","Middle Bathonian","","168.2","165.3","30979","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphocephalus","-1.432222","51.851944","UK","England","Oxfordshire","based on nearby landmark","seconds","local area","four quarries in the area around Stonesfield, near Woodstock, 12 mi NW of Oxford; specimen locations were not specifically recorded during collection"
"1264921","occ","","","59357","Rhamphocephalus bucklandi","species","95827","Middle Bathonian","","168.2","165.3","30979","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphocephalus","-1.432222","51.851944","UK","England","Oxfordshire","based on nearby landmark","seconds","local area","four quarries in the area around Stonesfield, near Woodstock, 12 mi NW of Oxford; specimen locations were not specifically recorded during collection"
"1264922","occ","","","59357","Rhamphocephalus bucklandi","species","95827","Middle Bathonian","","168.2","165.3","30979","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphocephalus","-1.432222","51.851944","UK","England","Oxfordshire","based on nearby landmark","seconds","local area","four quarries in the area around Stonesfield, near Woodstock, 12 mi NW of Oxford; specimen locations were not specifically recorded during collection"
"1264924","occ","","","59357","Rhamphocephalus bucklandi","species","95827","Middle Bathonian","","168.2","165.3","30954","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphocephalus","-1.432222","51.851944","UK","England","Oxfordshire","based on nearby landmark","seconds","local area","four quarries in the area around Stonesfield, near Woodstock, 12 mi NW of Oxford; specimen locations were not specifically recorded during collection"
"1283674","occ","","","55682","Pterofiltrus qiui","species","322722","Late Barremian","Early Aptian","125.77","119.5","55593","Chordata","Reptilia","Pterosauria","Ctenochasmatidae","Pterofiltrus","120.896103","41.619801","CN","Liaoning","","based on nearby landmark","4","small collection","Approx. 3 km northeast of the famous Sihetun Locality in Beipiao, Liaoning Province of northeast China."
"1309628","occ","","","135744","Cimoliopterus dunni","species","334111","Late Cenomanian","","100.5","93.9","57553","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cimoliopterus","-96.966667","33.099998","US","Texas","Denton","based on nearby landmark","minutes","small collection","Coordinates based on centre of Lewisville Lake"
"1328950","occ","","","27891","Daohugoupterus delicatus","species","340920","Early Callovian","","165.3","161.5","59176","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Daohugoupterus","119.238609","41.316387","CN","Nei Mongol","","stated in text","seconds","outcrop","Daohugou, Ningcheng county, eastern Nei Mongol (west of Liaoning province), northeastern China. 41°18.979 N, longitude 119°14.318E"
"1328953","occ","","","178843","Rhamphorhynchus etchesi","species","340921","Tithonian","","149.2","145","59178","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","-2.080470","50.595390","UK","England","Dorset","stated in text","5","small collection","Foreshore at Encombe, Dorset (National Grid Reference SY 944773)."
"1328955","occ","","","118207","Linlongopterus jennyae","species","340923","Aptian","","121.4","113","59180","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Linlongopterus","119.795700","40.807522","CN","Liaoning","Jianchang County","estimated from map","6","",""
"1328956","occ","","","105772","Ikrandraco avatar","species","340925","Aptian","","121.4","113","59181","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ikrandraco","119.683296","40.650002","CN","Liaoning","Jianchang","based on nearby landmark","2","small collection","Lamadong town, Jianchang county"
"1328957","occ","","","135798","Ikrandraco avatar","species","340925","Aptian","","121.4","113","59181","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ikrandraco","119.495834","40.912777","CN","Liaoning","","stated in text","seconds","outcrop","near Liuligou, Sihedang Township, Lingyuan City, western Liaoning Province"
"1350000","occ","","","105797","Ctenochasma porocristata","species","156643","Early Tithonian","","149.2","146.3","61048","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ctenochasma","11.175000","48.904999","DE","Bayern","","based on nearby landmark","3","outcrop","There are two quarries, one west and one east of Wintershof.  The exact quarry is not known."
"1350001","occ","","","53039","Germanodactylus cristatus","species","156750","Early Tithonian","","149.2","146.3","61049","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Germanodactylus","11.150000","48.933331","DE","Bayern","","based on nearby landmark","5","small collection","near Workerszell, just N of Eichstätt"
"1350002","occ","","","132062","Germanodactylus rhamphastinus","species","156752","Early Tithonian","","149.2","146.3","61049","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Germanodactylus","10.904444","48.792500","DE","Bayern","","based on nearby landmark","seconds","small collection","Daiting, near Monheim, Bayern, Germany."
"1358593","occ","35701","","183201","Caelestiventus hanseni","species","378444","Late Triassic","Early Jurassic","237","174.7","67237","Chordata","Reptilia","Pterosauria","Dimorphodontidae","Caelestiventus","-109.237953","40.453594","US","Utah","Uintah","based on nearby landmark","6","outcrop","general locality provided; along a flank of the Section Ridge anticline, on a 4 x 10 m shelf at top of a small canyon"
"1378008","occ","","","188486","Nyctosaurus gracilis","species","52936","Santonian","","86.3","83.6","63225","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Nyctosaurus","-100.235718","38.877880","US","Kansas","Trego","based on nearby landmark","5","small collection","Sampson's pasture, Hackberry Creek, 13 mi. S of Quinter, orig. Gove Co."
"1379986","occ","","","188879","Allkaruen koi","species","372111","Late Toarcian","Early Bajocian","180.4","168.6","63401","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Allkaruen","-69.169998","-43.450001","AR","Chubut","","based on nearby landmark","2","outcrop","La Lluvia, Canadón Carrizal (4 km south of Cerro Condor)"
"1384099","occ","","","77891","Aymberedactylus cearensis","species","376125","Late Aptian","","119.5","113","63770","Chordata","Reptilia","Pterosauria","Tapejaridae","Aymberedactylus","-39.700001","-7.125000","BR","Ceara","","based on nearby landmark","3","local area","from the stone quarries south of Nova Olinda"
"1385606","occ","","","96223","Xericeps curvirostris","species","363920","Early Cenomanian","","100.5","93.9","64004","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Xericeps","-3.870278","30.897499","MA","Drâa-Tafilalet","Errachidia","stated in text","seconds","small collection","near the village of Begaa and 10 km north-east of Taouz; longitude coordinates are given in the text as east, but this appears to be an error"
"1403796","occ","","","193774","Tethydraco regalis","species","371115","Late Maastrichtian","","72.1","66","65819","Chordata","Reptilia","Pterosauria","Pteranodontidae","Tethydraco","-6.620833","32.875000","MA","Khouribga","","estimated from map","seconds","local area",""
"1403797","occ","","","193774","Alcione elainus","species","371117","Late Maastrichtian","","72.1","66","65819","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Alcione","-6.620833","32.875000","MA","Khouribga","","estimated from map","seconds","local area",""
"1403798","occ","","","193774","Simurghia robusta","species","371119","Late Maastrichtian","","72.1","66","65819","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Simurghia","-6.620833","32.875000","MA","Khouribga","","estimated from map","seconds","local area",""
"1403799","occ","","","193774","Barbaridactylus grandis","species","371121","Late Maastrichtian","","72.1","66","65819","Chordata","Reptilia","Pterosauria","Nyctosauridae","Barbaridactylus","-6.620833","32.875000","MA","Khouribga","","estimated from map","seconds","local area",""
"1403800","occ","","","193774","Phosphatodraco mauritanicus","species","156769","Late Maastrichtian","","72.1","66","65819","Chordata","Reptilia","Pterosauria","Azhdarchidae","Phosphatodraco","-6.620833","32.875000","MA","Khouribga","","estimated from map","seconds","local area",""
"1407175","occ","","","105772","Vesperopterylus lamadongensis","species","372107","Aptian","","121.4","113","66065","Chordata","Reptilia","Pterosauria","Anurognathidae","Vesperopterylus","119.683296","40.650002","CN","Liaoning","Jianchang","based on nearby landmark","2","small collection","Lamadong town, Jianchang county"
"1407176","occ","","","194497","Maaradactylus kellneri","species","372109","Late Aptian","","119.5","113","66066","Chordata","Reptilia","Pterosauria","Anhangueridae","Maaradactylus","-39.718334","-7.181667","BR","Ceará","","stated in text","seconds","local area","São Gonçalo site, Santana do Cariri city, Ceará state, Brazil (07 º 10 '54 ""S 39 ° 43'\r\n06"" W and UTM 926,286, with 596 m of altitude)."
"1425262","occ","","","156015","Liaodactylus primus","species","379281","Oxfordian","","161.5","154.8","67474","Chordata","Reptilia","Pterosauria","Ctenochasmatidae","Liaodactylus","119.983330","40.866669","CN","Liaoning","Jianchang","stated in text","minutes","small collection","Near Daxishan Village, Linglongta, Jianchang County, Huludao City, western Liaoning Province"
"1429200","occ","","","131961","Ptenodracon brevirostris","species","95824","Kimmeridgian","","154.8","149.2","14142","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ptenodracon","11.890000","48.930000","DE","","","","2","",""
"1429229","occ","","","94210","Camposipterus nasutus","species","321016","Late Albian","","106.2","100.5","47175","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Camposipterus","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"1429284","occ","","","84365","Ctenochasma elegans","species","156640","Early Tithonian","","149.2","146.3","14142","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ctenochasma","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"1429285","occ","","","84365","Pterodactylus spectabilis","species","365104","Early Tithonian","","149.2","146.3","14142","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"1437862","occ","","","129475","Forfexopterus jeholensis","species","384500","Aptian","","121.4","113","68539","Chordata","Reptilia","Pterosauria","Ctenochasmatidae","Forfexopterus","119.683296","40.650002","CN","Liaoning","Jianchang","based on nearby landmark","2","small collection","Xiao-tai-zi (Xiaotaizi), La-ma-dong (Lamadong), Jianchang"
"1439336","occ","","","92421","Douzhanopterus zhengi","species","379279","Late Bathonian","Early Kimmeridgian","168.2","152.2","67473","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Douzhanopterus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"1447892","occ","","","55238","Noripterus parvus","species","68080","Valanginian","Barremian","139.8","121.4","30958","Chordata","Reptilia","Pterosauria","Dsungaripteridae","Noripterus","101.621109","45.297222","MN","Ovorhangai","","based on nearby landmark","seconds","small collection","70 km NNE of Lake Khara-Us-Nur, Khovd region"
"1457690","occ","","","203446","Iberodactylus andreui","species","392813","Early Barremian","","125.77","121.4","69758","Chordata","Reptilia","Pterosauria","Hamipteridae","Iberodactylus","-0.733150","40.905270","ES","Aragón","Teruel","estimated from map","5","small collection","Los Quiñones, Teruel; Estimated from map in figure 1"
"1475022","occ","","","205840","Seazzadactylus venieri","species","397943","Norian","","227","208.5","70608","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Seazzadactylus","12.864845","46.398827","IT","Friuli Venezia Giulia","Oreone","based on nearby landmark","6","small collection","""According to the discoverer, Mr. Umberto Venier, MFSN 21545 was preserved in a loose boulder in the bed of the Seazza Brook (Preone Municipality, Friuli Venezia Giulia Autonomous Region, NE Italy) at ca. 435 m above the sea level, just upstream of the angle bend in the final tract of the brook before it issues into the Tagliamento River."""
"1486216","occ","","","153781","Ferrodraco lentoni","species","399804","Cenomanian","Early Turonian","100.5","89.8","71099","Chordata","Reptilia","Pterosauria","Anhangueridae","Ferrodraco","143.089172","-22.348333","AU","Queensland","","based on nearby landmark","seconds","small collection","Ho-Hum site, Belmont Station, near Winton"
"1487956","occ","","","160057","Keresdrakon vilsoni","species","401469","Aptian","Campanian","121.4","72.1","71269","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Keresdrakon","-53.064720","-26.776112","BR","Paraná","","estimated from map","seconds","outcrop","Cemitério dos Pterossauros Quarry, in an outcrop along a rural road about 2 km N of Cruzeiro do Oeste municipality, Paraná State; ""exposed at the overbanks of a secondary road (53° 03′ 53″W, 26° 45′ 34″S) about 2 km north of Cruzeiro do Oeste, Paraná, Brazil"" (Fig. 1, Langer et al., 2019)."
"1487957","occ","","","207051","Nurhachius luei","species","401471","Aptian","","121.4","113","71270","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Nurhachius","120.175301","41.423901","CN","Liaoning","Chaoyang","stated in text","4","",""
