"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"830584","occ","","","91672","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","small collection","Coordinates based upon the village of Holzmaden; private quarry of Gotthilf Fischer"
"830585","occ","","","91673","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","""Edge of a wood between Ohmden and Schlierbach."" = Staatswald Ohmden. Coordinates are for the wood between these two villages. Quarry of P. Kirchmann (Kirschmann)."
"830697","occ","","","91690","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Coordinates are for the village of Ohmden; no more precise data available; private quarry of K. Gonser"
"830698","occ","","","91691","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.571667","48.648609","DE","Baden-Württenburg","Zollernalbkreis","based on nearby landmark","seconds","small collection","Private quarry of Mr K. Gonsor Sr, near the Ohmden-Zell road"
"830764","occ","","","91696","Campylognathoides zitteli","species","156111","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Staatswald Ohmden (Ohmden State Forest). Coordinates are for the village of Ohmden. Quarry of J. Fischer."
"830765","occ","","","91697","Campylognathoides liasicus","species","156110","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","small collection","Coordinates based upon the village of Holzmaden"
"830766","occ","","","91698","Campylognathoides liasicus","species","156110","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","small collection","Coordinates based upon the village of Holzmaden"
"830767","occ","","","91699","Campylognathoides liasicus","species","156110","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Coordinates are for the village of Ohmden; no more precise data available"
"830768","occ","","","91664","Campylognathoides liasicus","species","156110","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.571667","48.648609","DE","Baden-Württenburg","Zollernalbkreis","based on nearby landmark","seconds","small collection","Private quarry of Mr J. Fischer, Zell"
"830769","occ","","","91700","Campylognathoides liasicus","species","156110","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","8.792222","48.228058","DE","Baden-Württenburg","Zollernalbkreis","based on nearby landmark","seconds","small collection","Quarry of the Rohrbach Concrete Company"
