"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon","taxon_size","extant_size","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","image_no"
"38478","38478","txn","","genus","Sordes","","38478","genus","Sordes","65558","","37290","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Sordes","Sordes pilosus","2","0","161.5","154.8","161.5","154.8","Oxfordian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"156636","156636","txn","","species","Sordes pilosus","","156636","species","Sordes pilosus","38478","","37290","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Sordes","","1","0","161.5","154.8","161.5","154.8","Oxfordian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"241005","241005","txn","","genus","Bellubrunnus","","241005","genus","Bellubrunnus","38470","","42228","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Bellubrunnus","Bellubrunnus rothgaengeri","2","0","152.2","149.2","152.2","149.2","Kimmeridgian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"241006","241006","txn","","species","Bellubrunnus rothgaengeri","","241006","species","Bellubrunnus rothgaengeri","241005","","42228","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Bellubrunnus","","1","0","152.2","149.2","152.2","149.2","Kimmeridgian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"438187","438187","txn","","genus","Klobiodon","","438187","genus","Klobiodon","38470","","77011","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Klobiodon","","2","0","168.2","165.3","168.2","165.3","Bathonian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"438188","438188","txn","","species","Klobiodon rochei","","438188","species","Klobiodon rochei","438187","","77011","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Klobiodon","","1","0","168.2","165.3","168.2","165.3","Bathonian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"NF2","","txn","","family","","","","","","","157947","","","2","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","","","","","","","","","","","","","","","","","","","","",""
"372110","372110","txn","","genus","Allkaruen","","372110","genus","Allkaruen","157947","NF2","63401","extinct","2","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Allkaruen","","2","0","180.4","168.6","180.4","168.6","Toarcian","Bajocian","marine","","actively mobile","volant","","piscivore","","","","1114"
"372111","372111","txn","","species","Allkaruen koi","","372111","species","Allkaruen koi","372110","","63401","extinct","1","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Allkaruen","","1","0","180.4","168.6","180.4","168.6","Toarcian","Bajocian","marine","","actively mobile","volant","","piscivore","","","","1114"
"162689","162689","txn","","unranked clade","Lonchognatha","","162689","unranked clade","Lonchognatha","162687","","30121","extinct","44","Chordata","Reptilia","Pterosauria","","","","47","0","201.4","199.5","121.4","113","Hettangian","Aptian","marine","","actively mobile","volant","","piscivore","","","","1521"
"202488","202488","txn","","unranked clade","Monofenestrata","","202488","unranked clade","Monofenestrata","162689","","31222","extinct","42","Chordata","Reptilia","Pterosauria","","","","44","0","201.4","199.5","121.4","113","Hettangian","Aptian","marine","","actively mobile","volant","","piscivore","","","","803"
"162690","162690","txn","","unranked clade","Caelidracones","","162690","unranked clade","Caelidracones","202488","","30121","extinct","14","Chordata","Reptilia","Pterosauria","","","","17","0","174.7","168.2","121.4","113","Aalenian","Aptian","marine","","actively mobile","volant","","piscivore","","","","803"
"100408","357865","txn","","family","Anurognathidae","","100408","family","Anurognathidae","162690","","62842","extinct","14","Chordata","Reptilia","Pterosauria","Anurognathidae","","","16","0","174.7","168.2","121.4","113","Aalenian","Aptian","marine","","actively mobile","volant","","piscivore","","","","1582"
"438191","438191","txn","","subfamily","Batrachognathinae","","438191","subfamily","Batrachognathinae","100408","","77012","extinct","2","Chordata","Reptilia","Pterosauria","Anurognathidae","","","3","0","165.3","154.8","165.3","154.8","Callovian","Oxfordian","marine","","actively mobile","volant","","piscivore","","","","1582"
"438189","438189","txn","","genus","Sinomacrops","","438189","genus","Sinomacrops","438191","","77012","extinct","2","Chordata","Reptilia","Pterosauria","Anurognathidae","Sinomacrops","Sinomacrops bondei","2","0","165.3","154.8","165.3","154.8","Callovian","Oxfordian","marine","","actively mobile","volant","","piscivore","","","","1582"
"438190","438190","txn","","species","Sinomacrops bondei","","438190","species","Sinomacrops bondei","438189","","77012","extinct","1","Chordata","Reptilia","Pterosauria","Anurognathidae","Sinomacrops","","1","0","165.3","154.8","165.3","154.8","Callovian","Oxfordian","marine","","actively mobile","volant","","piscivore","","","","1582"
"162691","162691","txn","","genus","Anurognathus","","162691","genus","Anurognathus","100408","","31911","extinct","2","Chordata","Reptilia","Pterosauria","Anurognathidae","Anurognathus","Anurognathus ammoni","2","0","149.2","146.3","149.2","146.3","Tithonian","","marine","","actively mobile","volant","","piscivore","","","","1582"
"164695","164695","txn","","species","Anurognathus ammoni","","164695","species","Anurognathus ammoni","162691","","30121","extinct","1","Chordata","Reptilia","Pterosauria","Anurognathidae","Anurognathus","","1","0","149.2","146.3","149.2","146.3","Tithonian","","marine","","actively mobile","volant","","piscivore","","","","1582"
"156634","156634","txn","","genus","Batrachognathus","","156634","genus","Batrachognathus","100408","","43848","extinct","2","Chordata","Reptilia","Pterosauria","Anurognathidae","Batrachognathus","Batrachognathus volans","2","0","161.5","154.8","161.5","154.8","Oxfordian","","marine","","actively mobile","volant","","piscivore","","","","1582"
"156635","156635","txn","","species","Batrachognathus volans","","156635","species","Batrachognathus volans","156634","","43848","extinct","1","Chordata","Reptilia","Pterosauria","Anurognathidae","Batrachognathus","","1","0","161.5","154.8","161.5","154.8","Oxfordian","","marine","","actively mobile","volant","","piscivore","","","","1582"
"68167","68167","txn","","genus","Dendrorhynchoides","","68167","genus","Dendrorhynchoides","100408","","4004","extinct","4","Chordata","Reptilia","Pterosauria","Anurognathidae","Dendrorhynchoides","","3","0","168.2","152.2","125.77","119.5","Bathonian","Aptian","marine","","actively mobile","volant","","insectivore","","","","1582"
"68166","68168","txn","","species","Dendrorhynchoides curvidentatus","","68166","species","Dendrorhynchoides curvidentatus","68167","","31370","extinct","1","Chordata","Reptilia","Pterosauria","Anurognathidae","Dendrorhynchoides","","1","0","125.77","119.5","125.77","119.5","Barremian","Aptian","marine","","actively mobile","volant","","insectivore","","","","1582"
"255637","255637","txn","","species","Dendrorhynchoides mutoudengensis","","255637","species","Dendrorhynchoides mutoudengensis","68167","","44336","extinct","1","Chordata","Reptilia","Pterosauria","Anurognathidae","Dendrorhynchoides","","1","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","insectivore","","","","1582"
"138743","138743","txn","","genus","Jeholopterus","","138743","genus","Jeholopterus","100408","","30959","extinct","2","Chordata","Reptilia","Pterosauria","Anurognathidae","Jeholopterus","","2","0","165.3","161.5","165.3","161.5","Callovian","","marine","","actively mobile","volant","","insectivore","","","","1582"
"138757","138757","txn","","species","Jeholopterus ningchengensis","","138757","species","Jeholopterus ningchengensis","138743","","30959","extinct","1","Chordata","Reptilia","Pterosauria","Anurognathidae","Jeholopterus","","1","0","165.3","161.5","165.3","161.5","Callovian","","marine","","actively mobile","volant","","insectivore","","","","1582"
"372106","372106","txn","","genus","Vesperopterylus","","372106","genus","Vesperopterylus","100408","","66065","extinct","2","Chordata","Reptilia","Pterosauria","Anurognathidae","Vesperopterylus","","2","0","121.4","113","121.4","113","Aptian","","marine","","actively mobile","volant","","piscivore","","","","1582"
"372107","372107","txn","","species","Vesperopterylus lamadongensis","","372107","species","Vesperopterylus lamadongensis","372106","","66065","extinct","1","Chordata","Reptilia","Pterosauria","Anurognathidae","Vesperopterylus","","1","0","121.4","113","121.4","113","Aptian","","marine","","actively mobile","volant","","piscivore","","","","1582"
"NF3","","txn","","family","","","","","","","202488","","","28","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","","","","","","","","","","","","","","","","","","","","",""
"153897","153897","txn","","genus","Changchengopterus","","153897","genus","Changchengopterus","202488","NF3","30706","extinct","4","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Changchengopterus","","2","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","803"
"153898","153898","txn","","species","Changchengopterus pani","","153898","species","Changchengopterus pani","153897","","30706","extinct","2","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Changchengopterus","","1","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","803"
"205279","205279","txn","","genus","Cuspicephalus","","205279","genus","Cuspicephalus","202488","NF3","38468","extinct","2","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cuspicephalus","Cuspicephalus scarfi","2","0","154.8","152.2","154.8","152.2","Kimmeridgian","","marine","","actively mobile","volant","","piscivore","","","","803"
"205280","205280","txn","","species","Cuspicephalus scarfi","","205280","species","Cuspicephalus scarfi","205279","","38468","extinct","1","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cuspicephalus","","1","0","154.8","152.2","154.8","152.2","Kimmeridgian","","marine","","actively mobile","volant","","piscivore","","","","803"
"157945","157945","txn","","genus","Darwinopterus","","157945","genus","Darwinopterus","202488","NF3","31222","extinct","6","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Darwinopterus","","4","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","803"
"173851","173851","txn","","species","Darwinopterus linglongtaensis","","173851","species","Darwinopterus linglongtaensis","157945","","34511","extinct","1","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Darwinopterus","","1","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","803"
"157946","157946","txn","","species","Darwinopterus modularis","","157946","species","Darwinopterus modularis","157945","","31222","extinct","1","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Darwinopterus","","1","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","803"
"202485","202485","txn","","species","Darwinopterus robustodens","","202485","species","Darwinopterus robustodens","157945","","37985","extinct","1","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Darwinopterus","","1","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","803"
"379278","379278","txn","","genus","Douzhanopterus","","379278","genus","Douzhanopterus","202488","NF3","67473","extinct","2","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Douzhanopterus","Douzhanopterus zhengi","2","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","803"
"379279","379279","txn","","species","Douzhanopterus zhengi","","379279","species","Douzhanopterus zhengi","379278","","67473","extinct","1","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Douzhanopterus","","1","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","803"
"38494","38494","txn","","genus","Pterodactylus","","38494","genus","Pterodactylus","202488","NF3","4783","extinct","12","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","Scaphognathus crassirostris","14","0","201.4","199.5","139.8","132.6","Hettangian","Valanginian","marine","","actively mobile","volant","","piscivore","","","","942"
"170084","156644","txn","","species","Pterodactylus antiquus","","170084","species","Pterodactylus antiquus","38494","","34083","extinct","1","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","","1","0","149.2","146.3","149.2","146.3","Tithonian","","marine","","actively mobile","volant","","piscivore","","","","942"
"156509","156509","txn","","species","Pterodactylus cirinensis","","156509","species","Pterodactylus cirinensis","38494","","31020","extinct","1","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","","1","0","154.8","149.2","154.8","149.2","Kimmeridgian","","marine","","actively mobile","volant","","piscivore","","","","942"
"95820","97008","txn","","species","Pterodactylus kochi","","95820","species","Pterodactylus kochi","38494","","24283","extinct","1","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","","1","0","149.2","146.3","149.2","146.3","Tithonian","","marine","","actively mobile","volant","","piscivore","","","","942"
"164691","164691","txn","","species","Pterodactylus micronyx","","164691","species","Pterodactylus micronyx","38494","","30121","extinct","2","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","","1","0","149.2","146.3","149.2","146.3","Tithonian","","marine","","actively mobile","volant","","piscivore","","","","942"
