Name,Family,Infraorder,Suborder,Order,Taxon Size,Diet,Max MYA,Min MYA,Early Age,Late Age,Early Period,Late Period
Latirhinus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Nipponosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,72.1,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Olorotitan,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Tsintaosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Barsboldia,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Laiyangosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Rhinorex,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Aquilarhinus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Eotrachodon,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,83.6,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Lapampasaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Malefica,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Yamatosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Bactrosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,72.1,Cenomanian,Campanian,Upper Cretaceous,Upper Cretaceous
Batyrosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,72.1,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Cedrorestes,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,139.8,132.6,Valanginian,Valanginian,Lower Cretaceous,Lower Cretaceous
Claosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,89.8,72.1,Coniacian,Campanian,Upper Cretaceous,Upper Cretaceous
Datonglong,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,72.1,Cenomanian,Campanian,Upper Cretaceous,Upper Cretaceous
Eolambia,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,93.9,Aptian,Cenomanian,Lower Cretaceous,Upper Cretaceous
Equijubus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,113,109.9,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Fukuisaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Fylax,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Gilmoreosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Gobihadros,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,83.6,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
Gongpoquansaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,113,109.9,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Gonkoken,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Huehuecanauhtlus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,83.6,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Jeyawati,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,93.9,89.8,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous
Jintasaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Koshisaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Levnesovia,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,93.9,89.8,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous
Morelladon,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,121.4,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous
Nanningosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,66,Cenomanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Nanyangosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,93.9,72.1,Turonian,Campanian,Upper Cretaceous,Upper Cretaceous
Penelopognathus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Plesiohadros,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,72.1,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Portellsaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,121.4,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous
Probactrosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,100.5,Barremian,Albian,Lower Cretaceous,Lower Cretaceous
Protohadros,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,93.9,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Ratchasimasaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Shuangmiaosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,106.2,100.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Sirindhorna,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Tanius,,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,89.8,72.1,Coniacian,Campanian,Upper Cretaceous,Upper Cretaceous
Telmatosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Tethyshadros,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Xuwulong,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Yunganglong,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,83.6,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
Zhanghenglong,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,83.6,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Zuoyunlong,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,83.6,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
Brighstoneus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,121.4,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous
Comptonatus,Iguanodontidae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,121.4,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous
Proa,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,113,109.9,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Siamodon,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Calvarius,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Cumnoria,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,152.2,149.2,Kimmeridgian,Kimmeridgian,Upper Jurassic,Upper Jurassic
Dakotadon,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,139.8,132.6,Valanginian,Valanginian,Lower Cretaceous,Lower Cretaceous
Delapparentia,Iguanodontidae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,121.4,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous
Draconyx,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,152.2,146.3,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic
Hippodraco,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,139.8,132.6,Valanginian,Valanginian,Lower Cretaceous,Lower Cretaceous
Iguanacolossus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,140.6,132.6,Berriasian,Valanginian,Lower Cretaceous,Lower Cretaceous
Lanzhousaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,113,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Magnamanus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,132.6,121.4,Hauterivian,Barremian,Lower Cretaceous,Lower Cretaceous
Napaisaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Riabininohadros,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Theiophytalia,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,100.5,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Callovosaurus,Dryosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,165.3,161.5,Callovian,Callovian,Middle Jurassic,Middle Jurassic
Dryosaurus,Dryosauridae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,154.8,145,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic
Dysalotosaurus,Dryosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,152.2,149.2,Kimmeridgian,Kimmeridgian,Upper Jurassic,Upper Jurassic
Elrhazosaurus,Dryosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Valdosaurus,Dryosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,154.8,119.5,Kimmeridgian,Aptian,Upper Jurassic,Lower Cretaceous
Eousdryosaurus,Dryosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,152.2,146.3,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic
Hesperonyx,Dryosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,152.2,149.2,Kimmeridgian,Kimmeridgian,Upper Jurassic,Upper Jurassic
Owenodon,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,149.2,139.8,Tithonian,Berriasian,Upper Jurassic,Lower Cretaceous
Anabisetia,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,93.9,89.8,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous
Atlascopcosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,119.5,109.9,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Chakisaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,89.8,Cenomanian,Turonian,Upper Cretaceous,Upper Cretaceous
Diluvicursor,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,119.5,109.9,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Galleonosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,119.5,109.9,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Isasicursor,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Kangnasaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,66,Cenomanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Leaellynasaura,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,119.5,109.9,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Macrogryphosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,89.8,86.3,Coniacian,Coniacian,Upper Cretaceous,Upper Cretaceous
Mahuidacursor,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,83.6,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Morrosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Talenkauen,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,93.9,89.8,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous
Tietasaura,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,139.8,125.77,Valanginian,Hauterivian,Lower Cretaceous,Lower Cretaceous
Trinisaura,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Matheronodon,Rhabdodontidae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Mochlodon,Rhabdodontidae,Ornithopoda,Neornithischia,Ornithischia,3,Herbivore,86.3,66,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Pareisactus,Rhabdodontidae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Rhabdodon,Rhabdodontidae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Transylvanosaurus,Rhabdodontidae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Zalmoxes,Rhabdodontidae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Fostoria,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,93.9,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Iani,Tenotosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,93.9,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Muttaburrasaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,106.2,93.9,Albian,Cenomanian,Lower Cretaceous,Upper Cretaceous
Craspedodon,,Ceratposia,Neornithischia,Ornithischia,1,Herbivore,89.8,83.6,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous
Lurdusaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,113,100.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Choyrodon,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,109.9,100.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Convolosaurus,Tenotosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,119.5,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Fulgurotherium,,Ornithopoda,Neornithischia,Ornithischia,0,Herbivore,100.5,93.9,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Iyuku,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,139.8,132.6,Valanginian,Valanginian,Lower Cretaceous,Lower Cretaceous
Mantellisaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,145,119.5,Berriasian,Aptian,Lower Cretaceous,Lower Cretaceous
Osmakasaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,154.8,121.4,Kimmeridgian,Barremian,Upper Jurassic,Lower Cretaceous
Planicoxa,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Sektensaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Tenontosaurus,Tenotosauridae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,121.4,93.9,Aptian,Cenomanian,Lower Cretaceous,Upper Cretaceous
Yueosaurus,Jeholosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,113,93.9,Albian,Cenomanian,Lower Cretaceous,Upper Cretaceous
Thescelosaurus,Thescelosauridae,Ornithopoda,Neornithischia,Ornithischia,4,Herbivore,93.9,66,Turonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Ampelognathus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,93.9,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Burianosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,93.9,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Changchunsaurus,Thescelosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,100.5,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Changmiania,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,119.5,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Gideonmantellia,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,121.4,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous
Nanosaurus,Nanosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,157.9,145,Oxfordian,Tithonian,Upper Jurassic,Upper Jurassic
Qantassaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,119.5,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Weewarrasaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,93.9,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Stegouros,,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Akainacephalus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Ziapelta,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Anodontosaurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,2,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Dyoplosaurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Euoplocephalus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Platypelta,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Scolosaurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,2,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Ankylosaurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Crichtonpelta,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,106.2,89.8,Albian,Turonian,Lower Cretaceous,Upper Cretaceous
Jinyunpelta,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,113,100.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Nodocephalosaurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Oohkotokia,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,86.3,72.1,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Pinacosaurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,2,Herbivore,89.8,72.1,Coniacian,Campanian,Upper Cretaceous,Upper Cretaceous
Saichania,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,100.5,72.1,Cenomanian,Campanian,Upper Cretaceous,Upper Cretaceous
Talarurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,100.5,83.6,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
Tarchia,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,3,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Tsagantegia,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,100.5,83.6,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
Zaraapelta,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,100.5,83.6,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
Zuul,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Ahshislepelta,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Aletopelta,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Bissektipelta,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,93.9,89.8,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous
Cedarpelta,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,100.5,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Chuanqilong,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Datai,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,93.9,86.3,Turonian,Coniacian,Upper Cretaceous,Upper Cretaceous
Gobisaurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,89.8,Aptian,Turonian,Lower Cretaceous,Upper Cretaceous
Liaoningosaurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Carnivore,125.77,119.5,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Minmi,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,139.8,113,Valanginian,Aptian,Lower Cretaceous,Lower Cretaceous
Shamosaurus,Ankylosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,100.5,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Europelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,113,109.9,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Acantholipan,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Animantarx,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,100.5,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Anoplosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,100.5,93.9,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Borealopelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Dongyangopelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,113,93.9,Albian,Cenomanian,Lower Cretaceous,Upper Cretaceous
Edmontonia,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Gargoyleosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,152.2,146.3,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic
Gastonia,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,2,Herbivore,139.8,100.5,Valanginian,Albian,Lower Cretaceous,Lower Cretaceous
Glyptodontopelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Hoplitosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,125.77,113,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Hungarosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,86.3,83.6,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Hylaeosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,140.6,109.9,Berriasian,Albian,Lower Cretaceous,Lower Cretaceous
Invictarx,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Mymoorapelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,154.8,145,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic
Niobrarasaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,89.8,83.6,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous
Nodosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,100.5,66,Cenomanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Panoplosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,2,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Patagopelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Pawpawsaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,106.2,100.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Peloroplites,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,100.5,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Polacanthus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,2,Herbivore,140.6,100.5,Berriasian,Albian,Lower Cretaceous,Lower Cretaceous
Propanoplosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,119.5,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Sauropelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,93.9,Aptian,Cenomanian,Lower Cretaceous,Upper Cretaceous
Sauroplites,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
