Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,First Appearance (MYA),Last Appearance (MYA),Early Interval,Late Interval,Era
Zuul crurivastator,Zuul,Ankylosaurinae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Ahshislepelta minor,Ahshislepelta,Ankylosauridae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Aletopelta coombsi,Aletopelta,Ankylosauridae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Bissektipelta archibaldi,Bissektipelta,Ankylosauridae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Cedarpelta bilbeyhallorum,Cedarpelta,Ankylosauridae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,121.4,100.5,Aptian,Albian,Cretaceous
Chuanqilong chaoyangensis,Chuanqilong,Ankylosauridae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Datai yingliangis,Datai,Ankylosauridae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,93.9,86.3,Turonian,Coniacian,Cretaceous
Gobisaurus domoculus,Gobisaurus,Ankylosauridae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,89.8,Aptian,Turonian,Cretaceous
Liaoningosaurus paradoxus,Liaoningosaurus,Ankylosauridae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Shamosaurus scutatus,Shamosaurus,Ankylosauridae,Ankylosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,121.4,100.5,Aptian,Albian,Cretaceous
Europelta carbonensis,Europelta,Struthiosaurinae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,113.0,109.9,Albian,Albian,Cretaceous
Acantholipan gonzalezi,Acantholipan,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Animantarx ramaljonesi,Animantarx,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,100.5,Aptian,Albian,Cretaceous
Anoplosaurus curtonotus,Anoplosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Borealopelta markmitchelli,Borealopelta,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Dongyangopelta yangyanensis,Dongyangopelta,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,113.0,93.9,Albian,Cenomanian,Cretaceous
Edmontonia longiceps,Edmontonia,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Gargoyleosaurus parkpinorum,Gargoyleosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,152.2,146.3,Kimmeridgian,Tithonian,Jurassic
Gastonia burgei,Gastonia,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,139.8,132.6,Valanginian,Valanginian,Cretaceous
Gastonia lorriemcwhinneyae,Gastonia,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,100.5,Aptian,Albian,Cretaceous
Glyptodontopelta mimus,Glyptodontopelta,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,11,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Hoplitosaurus marshi,Hoplitosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Hungarosaurus tormai,Hungarosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Hylaeosaurus armatus,Hylaeosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,139.8,109.9,Valanginian,Albian,Cretaceous
Invictarx zephyri,Invictarx,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Mymoorapelta maysi,Mymoorapelta,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Niobrarasaurus coleii,Niobrarasaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,89.8,83.6,Coniacian,Santonian,Cretaceous
Nodosaurus textilis,Nodosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Panoplosaurus mirus,Panoplosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,83.6,72.1,Campanian,Campanian,Cretaceous
Panoplosaurus rugosidens,Panoplosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,9,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Patagopelta cristata,Patagopelta,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Pawpawsaurus campbelli,Pawpawsaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,106.2,100.5,Albian,Albian,Cretaceous
Peloroplites cedrimontanus,Peloroplites,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,100.5,Aptian,Albian,Cretaceous
Polacanthus foxii,Polacanthus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,4,140.6,100.5,Berriasian,Albian,Cretaceous
Polacanthus rudgwickensis,Polacanthus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Propanoplosaurus marylandicus,Propanoplosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Sauropelta edwardsorum,Sauropelta,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,22,121.4,93.9,Aptian,Cenomanian,Cretaceous
Sauroplites scutiger,Sauroplites,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Silvisaurus condrayi,Silvisaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,106.2,100.5,Albian,Albian,Cretaceous
Stegopelta landerensis,Stegopelta,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Struthiosaurus austriacus,Struthiosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Struthiosaurus languedocensis,Struthiosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Struthiosaurus transylvanicus,Struthiosaurus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Taohelong jinchengensis,Taohelong,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,125.77,113.0,Barremian,Aptian,Cretaceous
Tatankacephalus cooneyorum,Tatankacephalus,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,113.0,100.5,Albian,Albian,Cretaceous
Texasetes pleurohalio,Texasetes,Nodosauridae,Nodosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,106.2,100.5,Albian,Albian,Cretaceous
Dracopelta zbyszewskii,Dracopelta,Ankylosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,146.3,145.0,Tithonian,Tithonian,Jurassic
Kunbarrasaurus ieversi,Kunbarrasaurus,Ankylosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,106.2,100.5,Albian,Albian,Cretaceous
Sarcolestes leedsi,Sarcolestes,Ankylosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,165.3,161.5,Callovian,Callovian,Jurassic
Sinankylosaurus zhuchengensis,Sinankylosaurus,Ankylosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Spicomellus afer,Spicomellus,Ankylosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Vectipelta barretti,Vectipelta,Ankylosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,140.6,139.8,Berriasian,Berriasian,Cretaceous
Dacentrurus armatus,Dacentrurus,Dacentrurinae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,9,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Miragaia longicollum,Miragaia,Dacentrurinae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,152.2,145.0,Kimmeridgian,Tithonian,Jurassic
Miragaia longispinus,Miragaia,Dacentrurinae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Thyreosaurus atlasicus,Thyreosaurus,Dacentrurinae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Chungkingosaurus jiangbeiensis,Chungkingosaurus,Huayangosaurinae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Gigantspinosaurus sichuanensis,Gigantspinosaurus,Huayangosaurinae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Changdusaurus laminaplacodus,Changdusaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,174.7,161.5,Aalenian,Callovian,Jurassic
Hesperosaurus mjosi,Hesperosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,6,157.9,145.0,,,Jurassic
Jiangjunosaurus junggarensis,Jiangjunosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Loricatosaurus priscus,Loricatosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,165.3,161.5,Callovian,Callovian,Jurassic
Mongolostegus exspectabilis,Mongolostegus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,100.5,Aptian,Albian,Cretaceous
Diracodon laticeps,Stegosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Hypsirophus discurus,Stegosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,149.2,145.0,Tithonian,Tithonian,Jurassic
Stegosaurus duplex,Stegosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Stegosaurus stenops,Stegosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,9,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Stegosaurus sulcatus,Stegosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Stegosaurus ungulatus,Stegosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,5,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Wuerhosaurus homheni,Stegosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,119.5,100.5,Aptian,Albian,Cretaceous
Yingshanosaurus jichuanensis,Yingshanosaurus,Stegosauridae,Stegosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Adratiklit boulahfa,Adratiklit,Stegosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Baiyinosaurus baojiensis,Baiyinosaurus,Stegosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,165.3,Bathonian,Bathonian,Jurassic
Bashanosaurus primitivus,Bashanosaurus,Stegosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Huayangosaurus taibaii,Huayangosaurus,Stegosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,170.9,154.8,Bajocian,Oxfordian,Jurassic
Isaberrysaura mollensis,Isaberrysaura,Stegosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,170.9,168.6,Bajocian,Bajocian,Jurassic
Kentrosaurus aethiopicus,Kentrosaurus,Stegosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,26,161.5,145.0,Oxfordian,Tithonian,Jurassic
Tuojiangosaurus multispinus,Tuojiangosaurus,Stegosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Emausaurus ernsti,Emausaurus,Thyreophora,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,184.2,174.7,Toarcian,Toarcian,Jurassic
Jakapil kaniukura,Jakapil,Thyreophora,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Scelidosaurus harrisonii,Scelidosaurus,Thyreophora,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,9,199.5,192.9,Sinemurian,Sinemurian,Jurassic
Scutellosaurus lawleri,Scutellosaurus,Thyreophora,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,17,201.4,184.2,Hettangian,Pliensbachian,Jurassic
Yuxisaurus kopchicki,Yuxisaurus,Thyreophora,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,192.9,184.2,Pliensbachian,Pliensbachian,Jurassic
Agilisaurus louderbacki,Agilisaurus,Genasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,170.9,154.8,Bajocian,Oxfordian,Jurassic
Eocursor parvus,Eocursor,Genasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,201.4,192.9,Hettangian,Sinemurian,Jurassic
Hexinlusaurus multidens,Hexinlusaurus,Genasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,170.9,154.8,Bajocian,Oxfordian,Jurassic
Jeholosaurus shangyuanensis,Jeholosaurus,Jeholosauridae,Jeholosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Kulindapteryx ukureica,Kulindapteryx,Jeholosauridae,Jeholosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,145.0,Bathonian,Tithonian,Jurassic
Albertadromeus syntarsus,Albertadromeus,Orodrominae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Koreanosaurus boseongensis,Koreanosaurus,Orodrominae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Orodromeus makelai,Orodromeus,Orodrominae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,8,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Oryctodromeus cubicularis,Oryctodromeus,Orodrominae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,106.2,100.5,Albian,Albian,Cretaceous
Zephyrosaurus schaffi,Zephyrosaurus,Orodrominae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,113.0,100.5,Albian,Albian,Cretaceous
Fona herzogae,Fona,Thescelosaurinae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Nevadadromeus schmitti,Nevadadromeus,Thescelosaurinae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Notohypsilophodon comodorensis,Notohypsilophodon,Thescelosaurinae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,100.5,89.8,Cenomanian,Turonian,Cretaceous
Parksosaurus warreni,Parksosaurus,Thescelosaurinae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Haya griva,Haya,Thescelosauridae,Thescelosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,86.3,72.1,Santonian,Campanian,Cretaceous
Kulindadromeus zabaikalicus,Kulindadromeus,Neornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,145.0,Bathonian,Tithonian,Jurassic
Minimocursor phunoiensis,Minimocursor,Neornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,149.2,139.8,Tithonian,Berriasian,
Sanxiasaurus modaoxiensis,Sanxiasaurus,Neornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,184.2,170.9,Toarcian,Aalenian,Jurassic
Yandusaurus hongheensis,Yandusaurus,Neornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,170.9,168.2,Bajocian,Bajocian,Jurassic
Gongbusaurus shiyii,Gongbusaurus,Fabrosauridae,Fabrosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Gongbusaurus wucaiwanensis,Gongbusaurus,Fabrosauridae,Fabrosauridae,NO_ORDER_SPECIFIED,Ornithischia,4,165.3,154.8,Callovian,Oxfordian,Jurassic
Xiaosaurus dashanpensis,Xiaosaurus,Fabrosauridae,Fabrosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,170.9,154.8,Bajocian,Oxfordian,Jurassic
Abrictosaurus consors,Abrictosaurus,Heterodontosaurinae,Heterodontosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,201.4,192.9,Hettangian,Sinemurian,Jurassic
Fruitadens haagarorum,Fruitadens,Heterodontosaurinae,Heterodontosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,149.2,145.0,Tithonian,Tithonian,Jurassic
Heterodontosaurus tucki,Heterodontosaurus,Heterodontosaurinae,Heterodontosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,201.4,192.9,Hettangian,Sinemurian,Jurassic
Lycorhinus angustidens,Lycorhinus,Heterodontosaurinae,Heterodontosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,201.4,192.9,Hettangian,Sinemurian,Jurassic
Echinodon becklesii,Echinodon,Heterodontosauridae,Heterodontosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,145.0,140.6,Berriasian,Berriasian,Cretaceous
Manidens condorensis,Manidens,Heterodontosauridae,Heterodontosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,182.9,174.7,Toarcian,Toarcian,Jurassic
Pegomastax africanus,Pegomastax,Heterodontosauridae,Heterodontosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,201.4,192.9,Hettangian,Sinemurian,Jurassic
Chilesaurus diegosuarezi,Chilesaurus,Ornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,149.2,145.0,Tithonian,Tithonian,Jurassic
Ferganocephale adenticulatum,Ferganocephale,Ornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,3,165.3,161.5,Callovian,Callovian,Jurassic
Krzyzanowskisaurus hunti,Krzyzanowskisaurus,Ornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,4,237.0,208.5,Carnian,Norian,Triassic
Laquintasaura venezuelae,Laquintasaura,Ornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,201.4,199.5,Hettangian,Hettangian,Jurassic
Lesothosaurus diagnosticus,Lesothosaurus,Ornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,201.4,192.9,Hettangian,Sinemurian,Jurassic
Pisanosaurus mertii,Pisanosaurus,Ornithischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,237.0,227.0,Carnian,Carnian,Triassic
Actiosaurus gaudryi,Actiosaurus,Anchisauridae,Anchisauridae,NO_ORDER_SPECIFIED,Saurischia,1,208.5,201.4,Rhaetian,Rhaetian,Triassic
Gyposaurus sinensis,Gyposaurus,Anchisauridae,Anchisauridae,NO_ORDER_SPECIFIED,Saurischia,9,201.4,174.7,Hettangian,Toarcian,Jurassic
Yimenosaurus youngi,Yimenosaurus,Prosauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,201.4,199.5,Hettangian,Hettangian,Jurassic
Bagualosaurus agudoensis,Bagualosaurus,Bagualosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,237.0,208.5,Carnian,Norian,Triassic
Eucnemesaurus entaxonis,Eucnemesaurus,Riojasauridae,Riojasauridae,NO_ORDER_SPECIFIED,Saurischia,1,227.0,201.4,Norian,Rhaetian,Triassic
Eucnemesaurus fortis,Eucnemesaurus,Riojasauridae,Riojasauridae,NO_ORDER_SPECIFIED,Saurischia,2,227.0,201.4,Norian,Rhaetian,Triassic
Riojasaurus incertus,Riojasaurus,Riojasauridae,Riojasauridae,NO_ORDER_SPECIFIED,Saurischia,2,227.0,208.5,Norian,Norian,Triassic
Aardonyx celestae,Aardonyx,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,201.4,192.9,Hettangian,Sinemurian,Jurassic
Blikanasaurus cromptoni,Blikanasaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,227.0,201.4,Norian,Rhaetian,Triassic
Camelotia borealis,Camelotia,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,208.5,201.4,Rhaetian,Rhaetian,Triassic
Gongxianosaurus shibeiensis,Gongxianosaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,184.2,174.7,Toarcian,Toarcian,Jurassic
Irisosaurus yimenensis,Irisosaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,192.9,184.2,Pliensbachian,Pliensbachian,Jurassic
Jingshanosaurus xinwaensis,Jingshanosaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,201.4,199.5,Hettangian,Hettangian,Jurassic
Ledumahadi mafube,Ledumahadi,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,201.4,192.9,Hettangian,Sinemurian,Jurassic
Leonerasaurus taquetrensis,Leonerasaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,192.9,184.2,Pliensbachian,Pliensbachian,Jurassic
Melanorosaurus readi,Melanorosaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,4,227.0,201.4,Norian,Rhaetian,Triassic
Meroktenos thabanensis,Meroktenos,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,227.0,201.4,Norian,Rhaetian,Triassic
Mussaurus patagonicus,Mussaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,199.5,192.9,Sinemurian,Sinemurian,Jurassic
Schleitheimia schutzi,Schleitheimia,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,227.0,208.5,Norian,Norian,Triassic
Sefapanosaurus zastronensis,Sefapanosaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,227.0,199.5,Norian,Hettangian,
Seitaad ruessi,Seitaad,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,192.9,174.7,Pliensbachian,Toarcian,Jurassic
Xingxiulong chengi,Xingxiulong,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,201.4,199.5,Hettangian,Hettangian,Jurassic
Yizhousaurus sunae,Yizhousaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,199.5,192.9,Sinemurian,Sinemurian,Jurassic
Yunnanosaurus huangi,Yunnanosaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,7,201.4,192.9,Hettangian,Sinemurian,Jurassic
Yunnanosaurus robustus,Yunnanosaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,5,199.5,192.9,Sinemurian,Sinemurian,Jurassic
Yunnanosaurus youngi,Yunnanosaurus,Sauropodiformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,192.9,184.2,Pliensbachian,Pliensbachian,Jurassic
Adeopapposaurus mognai,Adeopapposaurus,Massospondylidae,Massospondylidae,NO_ORDER_SPECIFIED,Saurischia,2,201.4,174.7,Hettangian,Toarcian,Jurassic
Coloradisaurus brevis,Coloradisaurus,Massospondylidae,Massospondylidae,NO_ORDER_SPECIFIED,Saurischia,2,227.0,208.5,Norian,Norian,Triassic
Glacialisaurus hammeri,Glacialisaurus,Massospondylidae,Massospondylidae,NO_ORDER_SPECIFIED,Saurischia,1,199.5,184.2,Sinemurian,Pliensbachian,Jurassic
Ignavusaurus rachelis,Ignavusaurus,Massospondylidae,Massospondylidae,NO_ORDER_SPECIFIED,Saurischia,2,201.4,192.9,Hettangian,Sinemurian,Jurassic
Leyesaurus marayensis,Leyesaurus,Massospondylidae,Massospondylidae,NO_ORDER_SPECIFIED,Saurischia,1,201.4,174.7,Hettangian,Toarcian,Jurassic
Lufengosaurus changduensis,Lufengosaurus,Massospondylidae,Massospondylidae,NO_ORDER_SPECIFIED,Saurischia,1,201.4,174.7,Hettangian,Toarcian,Jurassic
Lufengosaurus huenei,Lufengosaurus,Massospondylidae,Massospondylidae,NO_ORDER_SPECIFIED,Saurischia,12,201.4,192.9,Hettangian,Sinemurian,Jurassic
Lufengosaurus magnus,Lufengosaurus,Massospondylidae,Massospondylidae,NO_ORDER_SPECIFIED,Saurischia,11,201.4,168.2,Hettangian,Bajocian,Jurassic
