Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,Max First Appearance (MYA),Min Last Appearance (MYA),Early Interval,Late Interval,Era
Kepodactylus insperatus,Kepodactylus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,145.0,Tithonian,Tithonian,Jurassic
Normannognathus wellnhoferi,Normannognathus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,152.2,149.2,Kimmeridgian,Kimmeridgian,Jurassic
Plataleorhynchus streptophorodon,Plataleorhynchus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,145.0,139.8,Berriasian,Berriasian,
Pterodaustro guinazui,Pterodaustro,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,100.5,Aptian,Albian,Cretaceous
Barbaridactylus grandis,Barbaridactylus,Nyctosauridae,Nyctosauridae,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Muzquizopteryx coahuilensis,Muzquizopteryx,Nyctosauridae,Nyctosauridae,Pterosauria,Reptilia,1,93.9,86.3,Turonian,Coniacian,Cretaceous
Alcione elainus,Alcione,Aponyctosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Epapatelo otyikokolo,Epapatelo,Aponyctosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Simurghia robusta,Simurghia,Aponyctosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Haopterus gracilis,Haopterus,Mimodactylidae,Mimodactylidae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Mimodactylus libanensis,Mimodactylus,Mimodactylidae,Mimodactylidae,Pterosauria,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Archaeoistiodactylus linglongtaensis,Archaeoistiodactylus,Istiodactylidae,Istiodactylidae,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Liaoxipterus brachyognathus,Liaoxipterus,Istiodactylidae,Istiodactylidae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Hongshanopterus lacustris,Hongshanopterus,Istiodactyliformes,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Aerodraco sedgwickii,Aerodraco,Coloborhynchinae,Anhangueridae,Pterosauria,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Coloborhynchus clavirostris,Coloborhynchus,Coloborhynchinae,Anhangueridae,Pterosauria,Reptilia,1,140.6,132.6,Berriasian,Valanginian,Cretaceous
Coloborhynchus moroccensis,Coloborhynchus,Coloborhynchinae,Anhangueridae,Pterosauria,Reptilia,2,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Nicorhynchus capito,Nicorhynchus,Coloborhynchinae,Anhangueridae,Pterosauria,Reptilia,2,106.2,100.5,Albian,Albian,Cretaceous
Nicorhynchus fluviferox,Nicorhynchus,Coloborhynchinae,Anhangueridae,Pterosauria,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Uktenadactylus rodriguesae,Uktenadactylus,Coloborhynchinae,Anhangueridae,Pterosauria,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Uktenadactylus wadleighi,Uktenadactylus,Coloborhynchinae,Anhangueridae,Pterosauria,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Thapunngaka shawi,Thapunngaka,Mythungini,Anhangueridae,Pterosauria,Reptilia,1,113.0,100.5,Albian,Albian,Cretaceous
Ferrodraco lentoni,Ferrodraco,Tropeognathinae,Anhangueridae,Pterosauria,Reptilia,1,100.5,89.8,Cenomanian,Turonian,Cretaceous
